Code,Beds,Class,Region
010007,258,200 - 500,regione piemonte
010010,73,< 200,regione piemonte
010012,22,< 200,regione piemonte
010612,105,< 200,regione piemonte
010653,9,< 200,regione piemonte
010655,96,< 200,regione piemonte
010003,337,200 - 500,regione piemonte
010011,368,200 - 500,regione piemonte
010013,95,< 200,regione piemonte
010611,115,< 200,regione piemonte
010892,170,< 200,regione piemonte
010897,159,< 200,regione piemonte
010030,261,200 - 500,regione piemonte
010079,346,200 - 500,regione piemonte
010614,15,< 200,regione piemonte
010017,202,200 - 500,regione piemonte
010019,299,200 - 500,regione piemonte
010023,342,200 - 500,regione piemonte
010616,48,< 200,regione piemonte
010617,25,< 200,regione piemonte
010004,433,200 - 500,regione piemonte
010618,83,< 200,regione piemonte
010620,12,< 200,regione piemonte
010661,2,< 200,regione piemonte
010009,366,200 - 500,regione piemonte
010626,90,< 200,regione piemonte
010085,400,200 - 500,regione piemonte
010656,45,< 200,regione piemonte
010006,262,200 - 500,regione piemonte
010628,64,< 200,regione piemonte
010649,26,< 200,regione piemonte
010665,20,< 200,regione piemonte
010005,368,200 - 500,regione piemonte
010027,17,< 200,regione piemonte
010124,241,200 - 500,regione piemonte
010126,374,200 - 500,regione piemonte
010120,348,200 - 500,regione piemonte
010631,13,< 200,regione piemonte
010632,99,< 200,regione piemonte
010008,464,200 - 500,regione piemonte
010654,2,< 200,regione piemonte
010026,824,≥ 500,regione piemonte
010640,60,< 200,regione piemonte
010641,42,< 200,regione piemonte
010642,60,< 200,regione piemonte
010643,64,< 200,regione piemonte
010904,386,200 - 500,regione piemonte
010905,659,≥ 500,regione piemonte
010906,698,≥ 500,regione piemonte
010907,564,≥ 500,regione piemonte
010908,406,200 - 500,regione piemonte
010909,2169,≥ 500,regione piemonte
010920,72,< 200,regione piemonte
010922,100,< 200,regione piemonte
020001,412,200 - 500,regione valle d'aosta
020002,12,< 200,regione valle d'aosta
030143,165,< 200,regione lombardia
030144,68,< 200,regione lombardia
030145,82,< 200,regione lombardia
030146,95,< 200,regione lombardia
030147,214,200 - 500,regione lombardia
030148,243,200 - 500,regione lombardia
030149,10,< 200,regione lombardia
030350,15,< 200,regione lombardia
030354,10,< 200,regione lombardia
030379,24,< 200,regione lombardia
030175,86,< 200,regione lombardia
030176,238,200 - 500,regione lombardia
030177,10,< 200,regione lombardia
030178,238,200 - 500,regione lombardia
030275,109,< 200,regione lombardia
030294,1,< 200,regione lombardia
030295,469,200 - 500,regione lombardia
030369,15,< 200,regione lombardia
030029,179,< 200,regione lombardia
030030,199,< 200,regione lombardia
030031,159,< 200,regione lombardia
030032,112,< 200,regione lombardia
030035,51,< 200,regione lombardia
030218,87,< 200,regione lombardia
030219,95,< 200,regione lombardia
